,V1,V2,k1$cluster
D19_1,-1.47268704694142,-4.76521789968668,3
D19_10,1.08323679671226,3.160249477784,1
D19_100,0.756240353228465,-1.24295746533981,2
D19_101,0.495016185187447,-0.165444645818228,2
D19_102,-1.32289860200127,-0.786515324086329,2
D19_103,-0.0845473117188331,-7.40945387158363,3
D19_104,1.00459010985628,-1.50970712593209,1
D19_105,-0.936780503999103,-3.97508631498752,1
D19_106,-0.966715539291544,-3.9876521504899,3
D19_107,-1.51097072882234,-4.8572858764643,3
D19_108,-0.583089017077376,-4.04704836884526,3
D19_109,-0.0197805151829406,-5.18157148254517,3
D19_11,-1.72788156600109,2.91134542493355,1
D19_110,-1.5398989108926,-5.70274536791443,3
D19_111,0.0130258439548029,3.99631144293885,1
D19_112,-1.50795491917502,-4.73282105455634,3
D19_113,0.422077114553288,3.44157977003377,1
D19_114,2.14144705745711,1.67875444274039,2
D19_115,0.456222247180875,1.20140760869742,2
D19_116,1.41113436953724,4.54556330645046,1
D19_117,0.0745408643995609,-4.38093071737646,3
D19_118,-1.38090380108309,4.3917513611153,1
D19_119,2.08772429879307,2.05215100991323,2
D19_12,2.10600168590525,4.13274533831531,1
D19_120,-0.0412869636325964,3.60611695368969,1
D19_121,1.4008591958691,4.48761645919098,1
D19_122,-0.872842241983191,-3.89987140038952,2
D19_123,-0.741422867475467,-4.44579942643363,3
D19_124,-1.13743392710874,4.76270066732159,1
D19_125,0.200673587063524,3.43157466605747,1
D19_126,1.65704457441748,2.25606423378889,2
D19_127,1.43470212528046,2.85712685828446,2
D19_128,-0.716487408456238,4.91063133425827,1
D19_129,-0.108426799244997,-4.57038254055362,3
D19_13,-1.45762651252493,2.79051070282841,1
D19_130,1.78670823447819,4.18688210817891,1
D19_131,1.14418862579299,4.24352701514375,1
D19_132,1.59901579753085,4.19861340650745,1
D19_133,0.899569618882208,3.23935387385261,1
D19_134,-1.35453426545343,-4.69230309354648,3
D19_135,1.67479237701424,4.404462246758,1
D19_136,1.49575597346663,3.14596189873893,1
D19_137,-1.28220589233726,0.79242501480474,2
D19_138,-0.658088147305265,4.9047563769679,1
D19_139,-0.559388686045965,4.96774893781209,1
D19_14,0.279017141370114,4.83956531904218,1
D19_140,-0.997691835851176,2.16766122152453,2
D19_141,-0.413210208161263,-0.193314183147675,2
D19_142,-1.46438203458714,2.17068914650362,1
D19_143,0.655314072729232,2.20651501805582,2
D19_144,-1.1613525211081,0.874790722183761,2
D19_145,-1.08179475396831,4.70549800030008,1
D19_146,2.14483692568004,1.88855498780335,2
D19_147,1.63937291972356,4.18768540830254,1
D19_148,-0.276904201383158,5.072411812814,1
D19_149,2.11331794860966,1.87217857215697,2
D19_15,1.77911576532941,3.73929866836181,1
D19_150,-0.342331113321194,-0.0178729771789712,2
D19_151,-1.57542498415141,3.00309191606963,1
D19_152,-1.3792017200569,1.86927209078843,1
D19_153,1.73616249703198,1.57020511230142,2
D19_154,-0.766294981764935,0.347305490132462,2
D19_155,1.90193018064839,1.93478264523034,2
D19_156,-0.325020425660542,5.15646808763011,1
D19_157,0.360081570110126,3.80090059461862,1
D19_158,-1.50281121012886,2.04299984029178,1
D19_159,0.300253395014091,4.79162392988163,1
D19_16,0.394572049368685,4.21931716030657,1
D19_160,-1.05036111087943,0.827122456384591,2
D19_161,0.926279249482072,3.53449657987931,1
D19_162,-0.811327141193811,4.29480087298969,1
D19_163,-1.5030145611626,2.57684672184676,1
D19_164,-0.821539804948073,1.16452688143411,2
D19_165,0.210499605192406,0.266362693304919,2
D19_166,0.827761141545891,3.89259253790761,1
D19_167,0.77809977859283,4.60594742124252,1
D19_168,0.547399017520075,1.04654560580817,2
D19_169,-1.14820224404539,4.59931588718404,1
D19_17,-1.55560828395606,-5.7870076256279,3
D19_170,-0.315361746783091,-4.09112505391239,3
D19_171,1.61205291280081,4.67409027377434,1
D19_172,0.758212037587635,1.92290806589713,2
D19_173,-1.29704490349536,0.814285265110138,2
D19_174,-0.159544160623207,4.63045760666067,1
D19_175,-0.921116485763406,1.42260051419037,2
D19_176,-0.602992704414065,5.03566989174622,1
D19_177,-0.447976201573095,-0.089009641359752,2
D19_178,-0.155189975689179,-4.01217227166861,3
D19_179,-1.16269180255237,1.03065382019506,2
D19_18,-1.2927629878411,2.05050977013146,1
D19_180,-0.136854494806867,3.99499756303256,1
D19_181,-0.689235341690493,1.84346239230525,2
D19_182,-0.737751919999893,0.999499296075256,2
D19_183,1.88969828418594,3.83884415399488,1
D19_184,1.42567673908798,4.45251411213325,1
D19_185,1.86792359970459,1.92952884381135,2
D19_186,-0.155004496517449,-3.64321636749225,2
D19_187,-1.40463162936941,2.0183078927782,1
D19_188,-1.1410876260757,4.64487781033272,1
D19_189,-1.7153601700182,3.41262142626127,1
D19_19,1.86298011337717,4.22253020366528,1
D19_190,-0.0274611795491826,0.882378906492691,2
D19_191,-0.738195863539055,5.05422433402381,1
D19_192,-1.5538588671393,3.91502302117562,1
D19_193,1.47384842047498,3.8462281036345,1
D19_194,0.767640758251536,4.42071287680213,1
D19_195,0.0203426629627673,-0.0546867001185879,2
D19_196,-0.168147666248717,-4.31553050726626,3
D19_197,0.441867394264046,2.38935822614819,2
D19_198,1.18816907945879,4.79312691476226,1
D19_199,-0.184532126884875,-4.3890996848172,3
D19_2,2.05617220786253,1.86316305602528,2
D19_20,-1.41982823372448,4.03354613264236,1
D19_200,-1.47276538118538,3.34253733038348,1
D19_201,1.67015526270108,1.85945525579518,2
D19_202,-1.64371517791342,3.54651541679955,1
D19_203,-0.119078827353598,-3.53974660588934,3
D19_204,-0.423908245287458,4.87825263273794,1
D19_205,1.15577215057388,3.63535561183264,1
D19_206,-1.01061123704922,1.07318242367868,2
D19_207,-1.77888180541219,2.74933642007565,1
D19_208,-1.0470375915978,1.06517628269085,2
D19_209,-1.41197948690953,2.6628861356296,2
D19_21,1.80541411512679,4.4719515881198,1
D19_210,0.0342997457703508,0.746080241582196,2
D19_211,-1.16894757521578,0.996755591534972,2
D19_212,0.822306472576086,-1.32322770868811,2
D19_213,-0.0434477603827825,-0.184228039746628,2
D19_214,-0.814437942896868,1.98284882906179,2
D19_215,-0.50797019857439,2.96427181229589,1
D19_216,0.863290150727371,-1.35498643839815,2
D19_217,-1.31521450416619,-4.74675341133848,3
D19_218,-0.115250430763608,-4.41202687845705,3
D19_219,-0.194886739713453,2.85727774334238,1
D19_22,0.675882816237698,4.7109579542704,1
D19_220,0.426884508878085,-0.796940537583632,2
D19_221,0.289552380060016,3.13145062051137,1
D19_222,0.836992049768541,-1.37709563002899,2
D19_223,-1.4123898901122,-0.872279773003977,2
D19_224,-0.0265720168206617,-3.16819474983198,2
D19_225,0.741660551060483,-0.666955987348917,2
D19_226,-0.347559945083198,-3.97860606203095,3
D19_227,0.624495513496794,-1.16845597967772,2
D19_228,-1.86798161054824,3.51751368462614,1
D19_229,-1.38602583817241,-0.861407950062425,2
D19_23,-1.57102755833422,2.55984408884762,1
D19_230,-0.0574933837709601,-7.42000297862843,3
D19_24,1.70330779043861,4.63934481545712,1
D19_25,-0.220259246232481,-4.31133543065361,3
D19_26,-1.64891743961837,3.07760615376051,1
D19_27,0.585322861818777,4.83930643374529,1
D19_28,-0.631339223076499,4.75394036896945,1
D19_29,0.751258517696921,3.4381884960573,1
D19_3,-0.589333130633215,-0.1262144922658,2
D19_30,-0.650941195739522,0.27388190072077,2
D19_31,-1.29001650503608,1.77114262115512,1
D19_32,0.585745421317745,3.67092674876051,1
D19_33,-0.464070267740402,4.93450642187071,1
D19_34,-1.08461277276953,0.452664536838375,2
D19_35,2.1176003250392,1.34520252442389,2
D19_36,-1.65837222354755,3.6388576463555,1
D19_37,-0.475962548691801,-4.19372420727985,2
D19_38,1.931860495858,1.33473336725319,2
D19_39,0.872411044253472,0.817053331621086,2
D19_4,-1.52650971207381,2.80910298600864,1
D19_40,1.60805526043187,4.52608270950327,1
D19_41,0.704611046003417,3.6512654094724,1
D19_42,0.160177373707083,3.95768599168757,1
D19_43,0.814112837059234,0.464382747683072,2
D19_44,-0.789043025862654,4.47279571204994,1
D19_45,-2.02848832826218,3.05996540671676,1
D19_46,0.91765490553249,4.59255092291961,1
D19_47,2.03140338516361,3.9612911024897,1
D19_48,-0.0807743771501046,-4.7529404939899,3
D19_49,1.6572025831469,4.45824488212112,1
D19_5,-1.38906451342415,3.43246865317529,1
D19_50,1.27319048959448,3.92870557261451,1
D19_51,0.955687738049206,1.47107832224497,2
D19_52,-0.621526907402303,4.51809742174326,1
D19_53,-0.0364594181814596,3.89107272903464,1
D19_54,1.17052124937755,3.26951491662087,1
D19_55,-1.28139559864427,0.630664560308328,2
D19_56,-0.185845290919469,4.3020791654683,1
D19_57,-0.891824479023201,1.50237515757612,2
D19_58,1.6698587028229,4.34015849800078,1
D19_59,-1.06233867430331,4.61986800432356,1
D19_6,1.46207882881463,4.60888493265745,1
D19_60,-0.273185289182277,4.43548412344394,1
D19_61,-1.26274709763665,4.42027478846015,1
D19_62,0.794104744499183,4.22511176437058,1
D19_63,0.670216495481894,0.137641766153317,2
D19_64,-1.51070992749767,2.09789444869339,1
D19_65,-0.325784759766486,3.70353828200377,1
D19_66,-0.358091337301992,4.34954860747256,1
D19_67,-1.77886908547111,2.85527355572524,1
D19_68,-1.47329574247957,3.49142449964611,1
D19_69,0.171145902340049,2.61919509939488,1
D19_7,1.27226201827232,2.7280346181707,2
D19_70,-1.41978043123267,-4.89713452397467,3
D19_71,-0.962235566239374,1.10031643011479,2
D19_72,0.651828483650567,2.9249679551456,1
D19_73,0.771587613325171,4.33736397833899,1
D19_74,-0.685124463867641,4.38039664435724,1
D19_75,-0.1600792436293,0.979982916958392,2
D19_76,-1.0215857179198,-5.40542196723989,3
D19_77,0.00575506308395402,-4.20452984361846,2
D19_78,-1.77043023231149,3.14771648148762,1
D19_79,-1.58618327170631,3.46818394710434,1
D19_8,-1.44762584751063,3.76102501537957,1
D19_80,0.120044144896878,4.21970895413437,1
D19_81,-1.0350296773984,4.09365734313733,1
D19_82,0.0971637901358166,3.75738182260313,1
D19_83,-0.523802520212684,4.41810907544491,1
D19_84,0.0481894062844141,2.54548817561907,1
D19_85,-1.81541913739529,3.03654157832231,1
D19_86,-1.24677394507343,4.36925670313194,1
D19_87,-0.199169129107499,3.59099589193027,1
D19_88,-0.652116803826804,1.76078466337919,2
D19_89,0.83678418397293,-1.36466449955019,1
D19_9,-0.15384157474541,-4.58939770016808,3
D19_90,-0.3110165079333,4.28747679077695,1
D19_91,0.21913108195902,4.04664023322335,1
D19_92,-1.93669049339053,3.5346388287683,1
D19_93,-0.256065346627423,-3.87716673259531,3
D19_94,0.423793571272883,2.36139456780934,2
D19_95,-1.91337745833895,3.34225570736962,1
D19_96,0.199978823821092,-4.23388045500459,3
D19_97,-1.38575888358423,-0.834599842466077,2
D19_98,0.740960250727839,-1.15828430216141,2
D19_99,-1.37520534078616,-0.825757604184557,2
D6_1,-1.06801856623213,-4.15416319724333,3
D6_10,-1.21550879522703,-6.29517586963325,3
D6_100,2.23196982775464,-0.0207084942334275,2
D6_101,-1.61237044055587,-6.17039132188357,3
D6_102,1.62690646218181,-0.591332285814818,2
D6_103,-0.00291989019546912,-6.13759329364856,3
D6_104,1.61666750760804,2.82085527211512,2
D6_105,-0.0695534083838436,0.921123097530491,2
D6_106,2.0979020249587,-0.00131524985539318,2
D6_107,2.18377892882216,2.58790351485903,2
D6_108,-1.14957309187132,-6.4406577043447,3
D6_109,-1.26489184958331,-5.3448854343621,3
D6_11,1.96470321211293,-0.102038070442612,2
D6_110,2.08809294829866,2.08313418968144,2
D6_111,-0.161046808816778,-0.507014450237805,2
D6_112,-0.0733236650423656,-6.10766413510757,3
D6_113,1.49771967580136,0.107733965631593,2
D6_114,-1.89148971050636,3.18255258424203,1
D6_115,-0.633401112308207,-5.96543426999515,3
D6_116,1.9825645258174,-0.535500768485646,3
D6_117,2.0628449152014,-0.816067672580215,3
D6_118,-1.31220957029756,-6.09316686676934,3
D6_119,-1.36177525049531,-5.64979476300231,3
D6_12,-1.44011154390063,-5.67722717802199,3
D6_120,0.968813905862803,-0.811643421951677,2
D6_121,1.58078809053053,-0.167459798045166,2
D6_122,-0.337296877537449,-1.17045006213791,3
D6_123,0.204457766825877,-0.945211202219992,2
D6_124,-0.149605832234448,-7.26576109147195,3
D6_125,-0.810041981863741,-5.02821226969737,3
D6_126,-0.112184750129877,-7.2370225633984,3
D6_127,-0.226833935508015,-1.37440356955426,3
D6_128,1.19141232295187,-0.982419846105282,2
D6_129,-0.0837375998817766,-7.36406138679058,3
D6_13,-0.00642285251356611,-5.43279722322127,3
D6_130,-0.239829122391401,-7.12746066543307,3
D6_131,-0.165810364204266,-7.17247427928604,3
D6_132,-0.133214879344877,-7.32406156912942,3
D6_133,-0.0393226565844355,-7.41913437929019,3
D6_14,-1.45354435229987,-6.35112447275835,3
D6_15,-0.52788158068129,-6.6834976096167,3
D6_16,-0.642589248147089,-4.27142029405498,3
D6_17,-0.664391527357094,-6.48311642525926,3
D6_18,-1.01229979766643,3.0502916227016,1
D6_19,-0.24747657225276,-6.6971231627605,3
D6_2,0.430110638910749,1.10271662237077,2
D6_20,-0.558011935356308,-4.64264918161236,3
D6_21,-1.66882213473181,-6.04055807908687,3
D6_22,-0.737381270477238,-6.42256783077818,3
D6_23,-0.618074416543511,-6.53424955239309,3
D6_24,1.89301761900822,2.44114456593104,2
D6_25,-0.467512532209415,-6.0107545451954,3
D6_26,-1.20907654168268,-6.5510432654847,3
D6_27,-1.43876044218485,-6.30915722529575,3
D6_28,0.713344200897083,1.42789913296118,2
D6_29,0.157423297288322,-5.69651621798022,3
D6_3,-1.03795953514141,-6.47689561297122,3
D6_30,0.164930231651136,-6.25273344571515,3
D6_31,-1.81417823800916,-5.79669962642352,3
D6_32,-0.355846660154487,-5.93587602781192,3
D6_33,-0.171983130831764,-5.71988656673279,3
D6_34,0.210332329877447,-5.95181095085981,3
D6_35,-1.30777484326101,-6.18368896336773,3
D6_36,-0.237286606334573,-1.01036675738535,2
D6_37,-0.262048012897089,-6.28519668745822,3
D6_38,-0.987524810978531,2.69097351704144,1
D6_39,1.10007463862921,0.655952017080427,2
D6_4,-0.612800596341707,-6.39041265857622,3
D6_40,1.70370656544706,0.688718751093254,2
D6_41,1.90668817969671,0.0326106493835604,2
D6_42,1.30151123429115,0.535916466065895,2
D6_43,-0.19176146730883,-6.21055042132648,3
D6_44,2.21230551278302,0.32422080778159,2
D6_45,1.69352233125566,2.26463411938491,2
D6_46,-1.23107864808139,-6.28844521741043,3
D6_47,2.22668397697012,0.289165574477372,2
D6_48,-1.15494667944738,-6.17052335729032,3
D6_49,1.80774410505997,-0.4516519191053,2
D6_5,-1.35799875465696,-6.47336413005942,3
D6_50,-0.411004254873861,-6.47589701844657,3
D6_51,-1.42703829301178,-6.24563434222061,3
D6_52,1.83423470190381,1.14932276174209,2
D6_53,1.94254416893488,1.15747488950859,2
D6_54,1.70851169593308,0.703980466173921,2
D6_55,-0.318972629993858,-6.42893003938986,3
D6_56,1.1532779001329,0.735268518733569,2
D6_57,1.94227411074485,-0.241079890782403,2
D6_58,1.93744304298584,0.157950233083301,2
D6_59,0.182839160700342,-5.78494135062522,3
D6_6,-0.107070767194979,-6.46528730450364,3
D6_60,-0.274631689629133,-0.854267446825875,3
D6_61,-0.402950466176588,-6.07892156519792,3
D6_62,0.212021380835518,-4.16380060561287,2
D6_63,0.110280802154784,-5.73202861154396,3
D6_64,-0.296367119758033,-1.24783950372969,3
D6_65,1.69862371384934,-0.325674119016546,2
D6_66,-1.10382127726983,-5.60904197870987,3
D6_67,0.50567546997321,-0.0575379964519326,2
D6_68,-0.35529928549758,-0.853297222502998,2
D6_69,1.57751134202613,3.11699351343507,1
D6_7,-1.58928973997,-6.29044620039088,3
D6_70,-1.02061331359263,2.56762363260406,2
D6_71,2.06540728637892,-0.669980199596534,3
D6_72,-0.223944907282192,-0.936387696607633,3
D6_73,2.15422134443126,-0.0939605684690114,2
D6_74,0.672884786308576,1.02608188785904,2
D6_75,-0.419303786527398,-4.58862320167856,3
D6_76,2.0077821114891,2.64090698563822,2
D6_77,1.73102956852411,0.280720156262816,2
D6_78,-1.45072502660696,-6.12696047578527,3
D6_79,-0.795119223281969,-4.87639148364022,3
D6_8,1.97348879794842,4.24103997307265,1
D6_80,-0.941552540980096,-5.05541804970767,3
D6_81,-1.35656563538925,-6.31633563137693,3
D6_82,1.49198143847282,3.42714711352097,1
D6_83,2.04277745866685,0.0151627156802298,2
D6_84,-0.376239017671153,-6.16882414190307,3
D6_85,1.2694890863581,0.114016299149536,2
D6_86,-0.887976766078916,-5.91272158249031,3
D6_87,-0.580814812597427,-6.26766625764343,3
D6_88,1.32357890284387,0.377326541095868,2
D6_89,-1.08382141447995,-5.23943235940786,3
D6_9,-0.0122104871367454,-5.01148141791352,3
D6_90,0.171107804775321,-5.77071935649289,3
D6_91,-0.850464192768247,2.49237228947462,1
D6_92,1.95212641097544,0.381467082150479,2
D6_93,1.75319389544929,0.912482659007788,2
D6_94,2.02942074562192,0.017567603324393,2
D6_95,0.145755832729225,1.04499255689229,2
D6_96,-1.46515003902535,2.30077814868425,1
D6_97,0.0626958407979821,-6.03332256655931,3
D6_98,1.4711166896808,0.52876348870032,2
D6_99,1.86349121011251,1.8037668157806,2
